Time,edge,Car Count,Truck Count,Modern Jeep Count,Traditional Jeep Count,Motorbike Count,Bicycle Count,Bus Count
0,-29377703#1,,,2,4,6,,
40,29377703#2,,,,,4,,
60,-29377703#2,,,,,,1,
120,29377703#3,,,,,2,,
125,-29377703#4,,,,,2,,
140,-303412427#1,,,,3,5,3,
140,303412427#1,,,,,,5,
180,303412427#2,,,,3,5,,
190,-303412427#2,,,,3,1,3,
240,-303412427#3,,,,,4,2,
250,303412427#3,,,,1,4,3,
260,303412427#5,,,,,5,,
270,-303412427#5,,,1,,2,2,
280,-303412427#8,3,,,,3,,
290,303412427#8,,,,1,1,,
300,303412427#10,,,,,4,,
300,-303412427#10,,,,,3,3,
310,303412427#12,,,,,3,,
320,-303412427#14,,,,,4,,
330,-303412427#16,2,,,1,6,,
340,303412427#16,1,,,,,,
350,303412427#17,2,,,,,,
360,-303412427#17,,1,,,,,
400,154644778#0,20,1,,,35,15,
450,615456195,55,,,,105,6,
500,368461882#0,7,2,,,9,,
700,-368461882#1,12,2,,,25,,
900,-923261416,40,1,,,70,15,
950,694268909#0,3,,,,4,,
1000,1176045777,15,,,,12,,
1050,-1176045777,20,,,,,,
1100,82694458#0,26,,,,19,,
1150,-82694458#0,,,,,20,,
1200,745183362,20,1,,,36,,
1250,4332731,4,,,,7,,
1300,-4332734#7,5,,,,15,,
1350,4332734#6,11,,,,,,
1400,-4332734#2,40,1,,,,,
1450,4332734#2,5,,,,5,,
1500,-4332734#0,15,1,,,5,,
1550,-48630242#3,20,,,,,3,
1600,48630242#3,4,,,,,,
1650,820063578#0,60,3,,,,,
1700,4243614#1,50,1,,,60,4,
1750,107396681#0,7,,,,10,,
1755,1018627463,10,,,,,,
1760,-4588647#4,15,,,,3,,
1780,1112806233-AddedOnRampEdge,16,,,,25,,
1790,1174874706,35,,,,45,10,
1800,121188635,5,,,,12,,
1810,126342419,15,,,,17,,
1820,119883577#4,20,,,,37,,
1850,119883577#8,7,,,,10,,
1900,825090426,15,2,,,,,
1920,-187486758#0,,,,,7,,
